run_id,cluster_id,step_id,step_name,step_kind,technology,input_label,repetition,step_state,submitted_at_utc,started_at_utc,ended_at_utc,wall_clock_seconds,failure_reason,metrics_s3_uri
m4-hardened-smoke-2,j-2DZJ10925CT5Y,s-07204302J1YEFG97F1H0,Install Python benchmark dependencies,dependency,,,,FAILED,2026-05-22T00:14:21.621000+00:00,2026-05-22T00:14:43.692000+00:00,2026-05-22T00:14:48.051000+00:00,4.359,Unknown Error. (logs: s3://fd-bda-380623119505-us-east-1/flight-delay/logs/emr/m4-hardened-smoke-2/j-2DZJ10925CT5Y/steps/s-07204302J1YEFG97F1H0/),
m4-hardened-smoke-3,j-3P841S0DMZQP1,s-012280116C1YNYEQA8MX,Install Python benchmark dependencies,dependency,,,,COMPLETED,2026-05-22T00:20:24.184000+00:00,2026-05-22T00:20:43.349000+00:00,2026-05-22T00:20:51.559000+00:00,8.21,,
m4-hardened-smoke-3,j-3P841S0DMZQP1,s-07704981NR6VM714B5SQ,spark_sql 100k rep1,benchmark,spark_sql,100k,1,COMPLETED,2026-05-22T00:21:07.691000+00:00,2026-05-22T00:21:21.578000+00:00,2026-05-22T00:22:23.692000+00:00,62.114,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-hardened-smoke-3/outputs/100k/spark_sql/rep1/spark_sql/runtime_metrics.json
m4-hardened-smoke-3,j-3P841S0DMZQP1,s-06698191ZEA48F36E05G,spark_core 100k rep1,benchmark,spark_core,100k,1,COMPLETED,2026-05-22T00:22:33.441000+00:00,2026-05-22T00:22:43.710000+00:00,2026-05-22T00:23:33.820000+00:00,50.11,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m4-hardened-smoke-3/outputs/100k/spark_core/rep1/spark_core/runtime_metrics.json
m4-hardened-smoke,j-11XSD5ZYYK41Y,s-1039565YMDYUJE1FKQ3,Install Python benchmark dependencies,dependency,,,,FAILED,2026-05-22T00:07:00.205000+00:00,2026-05-22T00:07:20.021000+00:00,2026-05-22T00:07:24.314000+00:00,4.293,,
aws-3x-14m,j-2L7D5U9DZJMUV,s-0814549QLPULH8OB4EI,Install Python benchmark dependencies,dependency,,,,COMPLETED,2026-05-25T11:45:08.412000+00:00,2026-05-25T11:45:17.880000+00:00,2026-05-25T11:45:26.124000+00:00,8.244,,
aws-3x-14m,j-2L7D5U9DZJMUV,s-06875993CU2CLXSI35SQ,spark_sql 14m rep1,benchmark,spark_sql,14m,1,COMPLETED,2026-05-25T11:45:30.410000+00:00,2026-05-25T11:45:41.140000+00:00,2026-05-25T11:46:55.338000+00:00,74.198,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-14m/outputs/14m/spark_sql/rep1/spark_sql/runtime_metrics.json
aws-3x-14m,j-2L7D5U9DZJMUV,s-0972093EDLVLVS3TM1N,spark_sql 14m rep2,benchmark,spark_sql,14m,2,COMPLETED,2026-05-25T11:47:15.475000+00:00,2026-05-25T11:47:20.360000+00:00,2026-05-25T11:48:28.468000+00:00,68.108,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-14m/outputs/14m/spark_sql/rep2/spark_sql/runtime_metrics.json
aws-3x-14m,j-2L7D5U9DZJMUV,s-01616631PUE3UQNYEZ9D,spark_sql 14m rep3,benchmark,spark_sql,14m,3,COMPLETED,2026-05-25T11:48:40.210000+00:00,2026-05-25T11:48:48.485000+00:00,2026-05-25T11:49:56.578000+00:00,68.093,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-14m/outputs/14m/spark_sql/rep3/spark_sql/runtime_metrics.json
aws-3x-14m,j-2L7D5U9DZJMUV,s-07421422IJO555CIBNMC,spark_core 14m rep1,benchmark,spark_core,14m,1,COMPLETED,2026-05-25T11:50:04.363000+00:00,2026-05-25T11:50:11.590000+00:00,2026-05-25T11:59:01.699000+00:00,530.109,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-14m/outputs/14m/spark_core/rep1/spark_core/runtime_metrics.json
aws-3x-14m,j-2L7D5U9DZJMUV,s-1040471305B0O1E582QJ,spark_core 14m rep2,benchmark,spark_core,14m,2,COMPLETED,2026-05-25T11:59:11.606000+00:00,2026-05-25T11:59:16.710000+00:00,2026-05-25T12:08:16.833000+00:00,540.123,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-14m/outputs/14m/spark_core/rep2/spark_core/runtime_metrics.json
aws-3x-14m,j-2L7D5U9DZJMUV,s-0157115T26YSA4WT7SS,spark_core 14m rep3,benchmark,spark_core,14m,3,COMPLETED,2026-05-25T12:08:30.778000+00:00,2026-05-25T12:08:36.843000+00:00,2026-05-25T12:17:14.927000+00:00,518.084,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-14m/outputs/14m/spark_core/rep3/spark_core/runtime_metrics.json
aws-3x-28m,j-CMWH8BRAH88K,s-02664643QY0FEZXS6WI2,Install Python benchmark dependencies,dependency,,,,COMPLETED,2026-05-25T12:26:26.485000+00:00,2026-05-25T12:26:31.598000+00:00,2026-05-25T12:26:39.863000+00:00,8.265,,
aws-3x-28m,j-CMWH8BRAH88K,s-0720617229AUF1GTQERN,spark_sql 28m rep1,benchmark,spark_sql,28m,1,COMPLETED,2026-05-25T12:26:49.018000+00:00,2026-05-25T12:26:54.876000+00:00,2026-05-25T12:28:24.984000+00:00,90.108,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-28m/outputs/28m/spark_sql/rep1/spark_sql/runtime_metrics.json
aws-3x-28m,j-CMWH8BRAH88K,s-05877563MSSXOHEPFQEZ,spark_sql 28m rep2,benchmark,spark_sql,28m,2,COMPLETED,2026-05-25T12:28:38.081000+00:00,2026-05-25T12:28:45.005000+00:00,2026-05-25T12:30:01.128000+00:00,76.123,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-28m/outputs/28m/spark_sql/rep2/spark_sql/runtime_metrics.json
aws-3x-28m,j-CMWH8BRAH88K,s-0486881114T0DTAYE49H,spark_sql 28m rep3,benchmark,spark_sql,28m,3,COMPLETED,2026-05-25T12:30:28.356000+00:00,2026-05-25T12:30:36.149000+00:00,2026-05-25T12:31:54.216000+00:00,78.067,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-28m/outputs/28m/spark_sql/rep3/spark_sql/runtime_metrics.json
aws-3x-28m,j-CMWH8BRAH88K,s-081372617GNOOLU039HX,spark_core 28m rep1,benchmark,spark_core,28m,1,COMPLETED,2026-05-25T12:32:18.217000+00:00,2026-05-25T12:32:24.232000+00:00,2026-05-25T12:46:42.359000+00:00,858.127,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-28m/outputs/28m/spark_core/rep1/spark_core/runtime_metrics.json
aws-3x-28m,j-CMWH8BRAH88K,s-00419542D6RQO3OUKHZO,spark_core 28m rep2,benchmark,spark_core,28m,2,COMPLETED,2026-05-25T12:46:57.984000+00:00,2026-05-25T12:47:12.372000+00:00,2026-05-25T13:01:36.526000+00:00,864.154,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-28m/outputs/28m/spark_core/rep2/spark_core/runtime_metrics.json
aws-3x-28m,j-CMWH8BRAH88K,s-0343667YHS8505JQ1O1,spark_core 28m rep3,benchmark,spark_core,28m,3,COMPLETED,2026-05-25T13:01:59.206000+00:00,2026-05-25T13:02:11.538000+00:00,2026-05-25T13:16:09.673000+00:00,838.135,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-28m/outputs/28m/spark_core/rep3/spark_core/runtime_metrics.json
aws-3x-mid,j-7ZV9PSD9STCP,s-0268511143JDXSE1ZP9H,Install Python benchmark dependencies,dependency,,,,COMPLETED,2026-05-25T11:10:07.078000+00:00,2026-05-25T11:10:19.364000+00:00,2026-05-25T11:10:27.620000+00:00,8.256,,
aws-3x-mid,j-7ZV9PSD9STCP,s-02584642SJRR6U0PDF5C,spark_sql 3m rep1,benchmark,spark_sql,3m,1,COMPLETED,2026-05-25T11:10:29.735000+00:00,2026-05-25T11:10:42.653000+00:00,2026-05-25T11:11:42.771000+00:00,60.118,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-mid/outputs/3m/spark_sql/rep1/spark_sql/runtime_metrics.json
aws-3x-mid,j-7ZV9PSD9STCP,s-01499373BYBNNWBZ872Y,spark_sql 3m rep2,benchmark,spark_sql,3m,2,COMPLETED,2026-05-25T11:11:56.809000+00:00,2026-05-25T11:12:07.788000+00:00,2026-05-25T11:13:03.910000+00:00,56.122,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-mid/outputs/3m/spark_sql/rep2/spark_sql/runtime_metrics.json
aws-3x-mid,j-7ZV9PSD9STCP,s-07264671NCNBCXZSJUOE,spark_sql 3m rep3,benchmark,spark_sql,3m,3,COMPLETED,2026-05-25T11:13:24.154000+00:00,2026-05-25T11:13:33.927000+00:00,2026-05-25T11:14:24.014000+00:00,50.087,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-mid/outputs/3m/spark_sql/rep3/spark_sql/runtime_metrics.json
aws-3x-mid,j-7ZV9PSD9STCP,s-00326892O0E00HVJWLY9,spark_core 3m rep1,benchmark,spark_core,3m,1,COMPLETED,2026-05-25T11:14:51.577000+00:00,2026-05-25T11:14:59.033000+00:00,2026-05-25T11:18:07.119000+00:00,188.086,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-mid/outputs/3m/spark_core/rep1/spark_core/runtime_metrics.json
aws-3x-mid,j-7ZV9PSD9STCP,s-055210121Y70UN7QQD9B,spark_core 3m rep2,benchmark,spark_core,3m,2,COMPLETED,2026-05-25T11:18:24.548000+00:00,2026-05-25T11:18:37.134000+00:00,2026-05-25T11:21:43.200000+00:00,186.066,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-mid/outputs/3m/spark_core/rep2/spark_core/runtime_metrics.json
aws-3x-mid,j-7ZV9PSD9STCP,s-06879011LWOURWOJ9T37,spark_core 3m rep3,benchmark,spark_core,3m,3,COMPLETED,2026-05-25T11:21:57.811000+00:00,2026-05-25T11:22:03.211000+00:00,2026-05-25T11:25:15.295000+00:00,192.084,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-mid/outputs/3m/spark_core/rep3/spark_core/runtime_metrics.json
aws-3x-mid,j-7ZV9PSD9STCP,s-05305061SUFPRRNV7QZQ,spark_sql full rep1,benchmark,spark_sql,full,1,COMPLETED,2026-05-25T11:25:25.947000+00:00,2026-05-25T11:25:40.307000+00:00,2026-05-25T11:26:34.410000+00:00,54.103,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/aws-3x-mid/outputs/full/spark_sql/rep1/spark_sql/runtime_metrics.json
